ProviderName,PublisherName,InvoiceIssuerName,InvoiceId,BillingAccountId,BillingAccountName,BillingAccountType,SubAccountId,SubAccountName,SubAccountType,BillingPeriodStart,BillingPeriodEnd,ChargePeriodStart,ChargePeriodEnd,ChargeCategory,ChargeClass,ChargeDescription,ChargeFrequency,BilledCost,EffectiveCost,ListCost,ContractedCost,ListUnitPrice,ContractedUnitPrice,PricingCategory,PricingQuantity,PricingUnit,PricingCurrency,PricingCurrencyContractedUnitPrice,PricingCurrencyEffectiveCost,PricingCurrencyListUnitPrice,BillingCurrency,ConsumedQuantity,ConsumedUnit,ServiceName,ServiceCategory,ServiceSubcategory,SkuId,SkuMeter,SkuPriceId,SkuPriceDetails,ResourceId,ResourceName,ResourceType,RegionId,RegionName,AvailabilityZone,CommitmentDiscountId,CommitmentDiscountName,CommitmentDiscountCategory,CommitmentDiscountType,CommitmentDiscountStatus,CommitmentDiscountQuantity,CommitmentDiscountUnit,CapacityReservationId,CapacityReservationStatus,Tags
AWS,AWS,AWS,INV-2026-05-0001,100000000001,ExampleCorp Master Payer,Payer Account,200000000011,prod-platform,Linked Account,2026-05-01T00:00:00Z,2026-06-01T00:00:00Z,2026-05-01T00:00:00Z,2026-05-02T00:00:00Z,Usage,,Glue ETL job run,Usage-Based,25.92102814922712,25.92102814922712,28.80114238728636,25.92102814922712,0.4302556691,0.3872301022,Standard,66.9396,DPU-Hours,USD,0.3872301022,25.92102814922712,0.4302556691,USD,66.9396,DPU-Hours,AWSGlue,Analytics,Data Processing,SKU-AWSGLU-255660,Data Processing,SPRICE-22d45c4e,"{""x_WorkerType"":""G.1X""}",arn:aws:e:ap-southeast-1:100000000001:job/job-b05eef5f4399,job-b05eef5f4399,Glue Job,ap-southeast-1,Asia Pacific (Singapore),,,,,,,,,,,"{""Environment"":""staging"",""CostCenter"":""cc-2087"",""Owner"":""team-data""}"
AWS,AWS,AWS,INV-2026-05-0001,100000000001,ExampleCorp Master Payer,Payer Account,200000000013,data-analytics,Linked Account,2026-05-01T00:00:00Z,2026-06-01T00:00:00Z,2026-05-02T00:00:00Z,2026-05-03T00:00:00Z,Usage,,Custom metrics,Usage-Based,17.09131688421825,17.09131688421825,18.99035209149295,17.09131688421825,0.3039112783,0.2735201505,Standard,62.4865,Metrics,USD,0.2735201505,17.09131688421825,0.3039112783,USD,62.4865,Metrics,AmazonCloudWatch,Management and Governance,Observability,SKU-AMAZON-5418f3,Monitoring,SPRICE-8b0ed230,"{""x_MetricType"":""Custom""}",arn:aws:cloudwatch:us-east-1:100000000001:metric/metric-c1549b502c48,metric-c1549b502c48,Metric,us-east-1,US East (N. Virginia),,,,,,,,,,,"{""Environment"":""staging"",""CostCenter"":""cc-2087"",""Owner"":""team-platform""}"
AWS,AWS,AWS,INV-2026-05-0001,100000000001,ExampleCorp Master Payer,Payer Account,200000000014,sandbox-dev,Linked Account,2026-05-01T00:00:00Z,2026-06-01T00:00:00Z,2026-05-01T02:00:00Z,2026-05-01T03:00:00Z,Usage,,Lambda function duration,Usage-Based,46.26996911096704,46.26996911096704,51.41121801366624,46.26996911096704,0.0000161796,0.0000145616,Standard,3177533.3144,GB-Seconds,USD,0.0000145616,46.26996911096704,0.0000161796,USD,3177533.3144,GB-Seconds,AWSLambda,Compute,Serverless Compute,SKU-AWSLAM-e41b39,Compute,SPRICE-98bda7a9,"{""x_Runtime"":""python3.12"",""x_Architecture"":""arm64""}",arn:aws:bda:us-east-1:100000000001:function/fn-9084ee82c5c6,fn-9084ee82c5c6,Lambda Function,us-east-1,US East (N. Virginia),,,,,,,,,,,"{""Environment"":""prod"",""CostCenter"":""cc-2087"",""Owner"":""team-data""}"
AWS,AWS,AWS,INV-2026-05-0001,100000000001,ExampleCorp Master Payer,Payer Account,200000000012,staging-platform,Linked Account,2026-05-01T00:00:00Z,2026-06-01T00:00:00Z,2026-05-04T00:00:00Z,2026-05-05T00:00:00Z,Usage,,Glue ETL job run,Usage-Based,14.26230194931841,14.26230194931841,15.84700216431062,14.26230194931841,0.4405457174,0.3964911457,Standard,35.9713,DPU-Hours,USD,0.3964911457,14.26230194931841,0.4405457174,USD,35.9713,DPU-Hours,AWSGlue,Analytics,Data Processing,SKU-AWSGLU-6f2494,Data Processing,SPRICE-fd09cdb2,"{""x_WorkerType"":""G.1X""}",arn:aws:e:us-east-1:100000000001:job/job-eb9c58ca4ce1,job-eb9c58ca4ce1,Glue Job,us-east-1,US East (N. Virginia),,,,,,,,,,,"{""Environment"":""prod"",""CostCenter"":""cc-2087"",""Owner"":""team-data""}"
AWS,AWS,AWS,INV-2026-05-0001,100000000001,ExampleCorp Master Payer,Payer Account,200000000014,sandbox-dev,Linked Account,2026-05-01T00:00:00Z,2026-06-01T00:00:00Z,2026-05-05T00:00:00Z,2026-05-06T00:00:00Z,Usage,,Custom metrics,Usage-Based,51.06601108357928,51.06601108357928,56.7400123044411,51.06601108357928,0.2960670795,0.2664603716,Standard,191.6458,Metrics,USD,0.2664603716,51.06601108357928,0.2960670795,USD,191.6458,Metrics,AmazonCloudWatch,Management and Governance,Observability,SKU-AMAZON-b4cb4d,Monitoring,SPRICE-d822dd92,"{""x_MetricType"":""Custom""}",arn:aws:cloudwatch:ap-southeast-1:100000000001:metric/metric-ffcd877ec809,metric-ffcd877ec809,Metric,ap-southeast-1,Asia Pacific (Singapore),,,,,,,,,,,"{""Environment"":""prod"",""CostCenter"":""cc-1042"",""Owner"":""team-payments""}"
AWS,AWS,AWS,INV-2026-05-0001,100000000001,ExampleCorp Master Payer,Payer Account,200000000012,staging-platform,Linked Account,2026-05-01T00:00:00Z,2026-06-01T00:00:00Z,2026-05-06T00:00:00Z,2026-05-07T00:00:00Z,Usage,,Glue ETL job run,Usage-Based,16.58351451829721,16.58351451829721,18.42612724207811,16.58351451829721,0.4316151901,0.3884536711,Standard,42.6911,DPU-Hours,USD,0.3884536711,16.58351451829721,0.4316151901,USD,42.6911,DPU-Hours,AWSGlue,Analytics,Data Processing,SKU-AWSGLU-8af76f,Data Processing,SPRICE-5cbacac5,"{""x_WorkerType"":""G.1X""}",arn:aws:e:ap-southeast-1:100000000001:job/job-567738f9947e,job-567738f9947e,Glue Job,ap-southeast-1,Asia Pacific (Singapore),,,,,,,,,,,"{""Environment"":""staging"",""CostCenter"":""cc-2087"",""Owner"":""team-data""}"
AWS,AWS,AWS,INV-2026-05-0001,100000000001,ExampleCorp Master Payer,Payer Account,200000000012,staging-platform,Linked Account,2026-05-01T00:00:00Z,2026-06-01T00:00:00Z,2026-05-07T00:00:00Z,2026-05-08T00:00:00Z,Purchase,,AmazonS3 subscription fee,Recurring,684.522078,0,684.522078,684.522078,684.522078,684.522078,Standard,1,Units,USD,684.5220780000,0,684.5220780000,USD,,,AmazonS3,Storage,Object Storage,SKU-AMAZON-754170,Storage,SPRICE-b91801ac,"{""x_StorageClass"":""Standard"",""x_Redundancy"":""LRS""}",arn:aws:s3:us-west-2:100000000001:bucket/bucket-80caf34725a7,bucket-80caf34725a7,S3 Bucket,us-west-2,US West (Oregon),,,,,,,,,,,"{""Environment"":""dev"",""CostCenter"":""cc-3110"",""Owner"":""team-data""}"
AWS,AWS,AWS,INV-2026-05-0002,100000000002,ExampleCorp Secondary Payer,Payer Account,200000000013,data-analytics,Linked Account,2026-05-01T00:00:00Z,2026-06-01T00:00:00Z,2026-05-08T00:00:00Z,2026-05-09T00:00:00Z,Usage,,DynamoDB on-demand write requests,Usage-Based,1.77125551678566,1.77125551678566,1.9680616853174,1.77125551678566,0.0000012860,0.0000011574,Standard,1530374.5609,Requests,USD,0.0000011574,1.77125551678566,0.0000012860,USD,1530374.5609,Requests,AmazonDynamoDB,Databases,NoSQL Databases,SKU-AMAZON-dcbc94,Database,SPRICE-ea13f548,"{""x_CapacityMode"":""On-Demand""}",arn:aws:dynamodb:us-east-1:100000000002:table/table-d81dadf36b86,table-d81dadf36b86,DynamoDB Table,us-east-1,US East (N. Virginia),,,,,,,,,,,"{""Environment"":""staging"",""CostCenter"":""cc-3110"",""Owner"":""team-payments""}"
AWS,AWS,AWS,INV-2026-05-0001,100000000001,ExampleCorp Master Payer,Payer Account,200000000013,data-analytics,Linked Account,2026-05-01T00:00:00Z,2026-06-01T00:00:00Z,2026-05-01T00:00:00Z,2026-06-01T00:00:00Z,Usage,,S3 Standard storage,Usage-Based,158.26397156439353,158.26397156439353,175.84885737642323,158.26397156439353,0.0236396099,0.0212756489,Standard,7438.7377,GB-Months,USD,0.0212756489,158.26397156439353,0.0236396099,USD,7438.7377,GB-Months,AmazonS3,Storage,Object Storage,SKU-AMAZON-ba753b,Storage,SPRICE-3595347d,"{""x_StorageClass"":""Standard"",""x_Redundancy"":""LRS""}",arn:aws:s3:ap-southeast-1:100000000001:bucket/bucket-1d7a5cbcd442,bucket-1d7a5cbcd442,S3 Bucket,ap-southeast-1,Asia Pacific (Singapore),,,,,,,,,,,"{""Environment"":""dev"",""CostCenter"":""cc-2087"",""Owner"":""team-payments""}"
AWS,AWS,AWS,INV-2026-05-0001,100000000001,ExampleCorp Master Payer,Payer Account,200000000011,prod-platform,Linked Account,2026-05-01T00:00:00Z,2026-06-01T00:00:00Z,2026-05-10T00:00:00Z,2026-05-11T00:00:00Z,Usage,,NAT gateway data processed,Usage-Based,12.0206093988832,12.0206093988832,13.3562326589672,12.0206093988832,0.0459551902,0.0413596712,Standard,290.6360,GB,USD,0.0413596712,12.0206093988832,0.0459551902,USD,290.6360,GB,AmazonVPC,Networking,Network Connectivity,SKU-AMAZON-82f6de,Data Transfer,SPRICE-2f9ad872,"{""x_TransferType"":""InterAZ""}",arn:aws:vpc:eu-west-1:100000000001:natgateway/nat-fb0dffd3c597,nat-fb0dffd3c597,NAT Gateway,eu-west-1,EU (Ireland),,,,,,,,,,,"{""Environment"":""prod"",""CostCenter"":""cc-2087"",""Owner"":""team-platform""}"
