ProviderName,PublisherName,InvoiceIssuerName,InvoiceId,BillingAccountId,BillingAccountName,BillingAccountType,SubAccountId,SubAccountName,SubAccountType,BillingPeriodStart,BillingPeriodEnd,ChargePeriodStart,ChargePeriodEnd,ChargeCategory,ChargeClass,ChargeDescription,ChargeFrequency,BilledCost,EffectiveCost,ListCost,ContractedCost,ListUnitPrice,ContractedUnitPrice,PricingCategory,PricingQuantity,PricingUnit,PricingCurrency,PricingCurrencyContractedUnitPrice,PricingCurrencyEffectiveCost,PricingCurrencyListUnitPrice,BillingCurrency,ConsumedQuantity,ConsumedUnit,ServiceName,ServiceCategory,ServiceSubcategory,SkuId,SkuMeter,SkuPriceId,SkuPriceDetails,ResourceId,ResourceName,ResourceType,RegionId,RegionName,AvailabilityZone,CommitmentDiscountId,CommitmentDiscountName,CommitmentDiscountCategory,CommitmentDiscountType,CommitmentDiscountStatus,CommitmentDiscountQuantity,CommitmentDiscountUnit,CapacityReservationId,CapacityReservationStatus,Tags
Microsoft Azure,Microsoft,Microsoft Azure,INV-2026-05-000001,8a1b2c3d-0000-4a00-9000-000000000001,ExampleCorp MCA - Primary,Microsoft Customer Agreement,11111111-1111-4111-8111-111111111111,prod-platform,Subscription,2026-05-01T00:00:00Z,2026-06-01T00:00:00Z,2026-05-01T00:00:00Z,2026-05-02T00:00:00Z,Usage,,VNet peering data transfer,Usage-Based,39.99070843022304,39.99070843022304,44.4341204780256,39.99070843022304,0.0101939040,0.0091745136,Standard,4358.8914,GB,USD,0.0091745136,39.99070843022304,0.0101939040,USD,4358.8914,GB,Virtual Network,Networking,Network Connectivity,AZ-VIRT-439925,Data Transfer,AZSP-566022d4,"{""x_TransferType"":""Peering""}",/subscriptions/11111111-1111-4111-8111-111111111111/resourceGroups/rg-prod-platform/providers/Microsoft.Network/virtualNetworks/vnet-b05eef5f,vnet-b05eef5f,Virtual Network,southeastasia,Southeast Asia,,,,,,,,,,,"{""Environment"":""staging"",""CostCenter"":""cc-2087"",""Owner"":""team-data""}"
Microsoft Azure,Microsoft,Microsoft Azure,INV-2026-05-000001,8a1b2c3d-0000-4a00-9000-000000000001,ExampleCorp MCA - Primary,Microsoft Customer Agreement,33333333-3333-4333-8333-333333333333,data-analytics,Subscription,2026-05-01T00:00:00Z,2026-06-01T00:00:00Z,2026-05-02T00:00:00Z,2026-05-03T00:00:00Z,Purchase,,Azure Monitor subscription fee,Recurring,766.254850,0,766.254850,766.254850,766.254850,766.254850,Standard,1,Units,USD,766.2548500000,0,766.2548500000,USD,,,Azure Monitor,Management and Governance,Observability,AZ-AZUR-49b502,Monitoring,AZSP-c485418f,"{""x_DataType"":""Logs""}",/subscriptions/33333333-3333-4333-8333-333333333333/resourceGroups/rg-data-analytics/providers/Microsoft.OperationalInsights/workspaces/law-09ba4c15,law-09ba4c15,Log Analytics Workspace,southeastasia,Southeast Asia,,,,,,,,,,,"{""Environment"":""prod"",""CostCenter"":""cc-2087"",""Owner"":""team-platform""}"
Microsoft Azure,Microsoft,Microsoft Azure,INV-2026-05-000001,8a1b2c3d-0000-4a00-9000-000000000001,ExampleCorp MCA - Primary,Microsoft Customer Agreement,44444444-4444-4444-8444-444444444444,sandbox-dev,Subscription,2026-05-01T00:00:00Z,2026-06-01T00:00:00Z,2026-05-03T00:00:00Z,2026-05-04T00:00:00Z,Tax,,Tax for Azure Monitor,One-Time,5.184548,5.184548,5.184548,5.184548,,,,,,,,,,USD,,,Azure Monitor,Management and Governance,Observability,,,,,,,,,,,,,,,,,,,,"{""Environment"":""dev"",""CostCenter"":""cc-2087"",""Owner"":""team-platform""}"
Microsoft Azure,Microsoft,Microsoft Azure,INV-2026-05-000001,8a1b2c3d-0000-4a00-9000-000000000001,ExampleCorp MCA - Primary,Microsoft Customer Agreement,22222222-2222-4222-8222-222222222222,staging-platform,Subscription,2026-05-01T00:00:00Z,2026-06-01T00:00:00Z,2026-05-01T03:00:00Z,2026-05-01T04:00:00Z,Usage,,Standard_D4s_v5 instance,Usage-Based,0.1707459669,0.1707459669,0.189717741,0.1707459669,0.1897177410,0.1707459669,Standard,1.0000,Hours,USD,0.1707459669,0.1707459669,0.1897177410,USD,1.0000,Hours,Virtual Machines,Compute,Virtual Machines,AZ-VIRT-4ee82c,Compute,AZSP-5c6e41b3,"{""InstanceType"":""Standard_D4s_v5"",""InstanceSeries"":""Ddsv5"",""CoreCount"":4,""MemorySize"":16,""OperatingSystem"":""Linux"",""x_Tenancy"":""Shared""}",/subscriptions/22222222-2222-4222-8222-222222222222/resourceGroups/rg-staging-platform/providers/Microsoft.Compute/virtualMachines/vm-4f6fb908,vm-4f6fb908,Virtual Machine,westus2,West US 2,westus2-2,,,,,,,,,,"{""Environment"":""dev"",""CostCenter"":""cc-1042"",""Owner"":""team-payments""}"
Microsoft Azure,Microsoft,Microsoft Azure,INV-2026-05-000002,8a1b2c3d-0000-4a00-9000-000000000002,ExampleCorp MCA - Secondary,Microsoft Customer Agreement,33333333-3333-4333-8333-333333333333,data-analytics,Subscription,2026-05-01T00:00:00Z,2026-06-01T00:00:00Z,2026-05-01T04:00:00Z,2026-05-01T05:00:00Z,Usage,,AKS node pool hours,Usage-Based,0.1738276077,0.1738276077,0.1931417863,0.1738276077,0.1931417863,0.1738276077,Standard,1.0000,Hours,USD,0.1738276077,0.1738276077,0.1931417863,USD,1.0000,Hours,Azure Kubernetes Service,Compute,Containers,AZ-AZUR-1073ae,Compute,AZSP-eb9c58ca,"{""InstanceType"":""Standard_D4s_v5"",""CoreCount"":4,""MemorySize"":16,""x_NodePool"":""system""}",/subscriptions/33333333-3333-4333-8333-333333333333/resourceGroups/rg-data-analytics/providers/Microsoft.ContainerService/managedClusters/aks-9306ddbe,aks-9306ddbe,Managed Cluster,westus2,West US 2,,,,,,,,,,,"{""Environment"":""prod"",""CostCenter"":""cc-2087"",""Owner"":""team-payments""}"
Microsoft Azure,Microsoft,Microsoft Azure,INV-2026-05-000002,8a1b2c3d-0000-4a00-9000-000000000002,ExampleCorp MCA - Secondary,Microsoft Customer Agreement,44444444-4444-4444-8444-444444444444,sandbox-dev,Subscription,2026-05-01T00:00:00Z,2026-06-01T00:00:00Z,2026-05-01T05:00:00Z,2026-05-01T06:00:00Z,Purchase,,"Savings Plan commitment, amortised for the charge period",Recurring,0.128064,0,0.128064,0.128064,1,1,Standard,0.128064,USD,USD,1.0000000000,0,1.0000000000,USD,,,Virtual Machines,Compute,Virtual Machines,AZ-COMMIT-c809b4,Commitment,AZSP-cb4dd822,"{""x_Term"":""P1Y"",""x_PaymentOption"":""NoUpfront""}",/subscriptions/44444444-4444-4444-8444-444444444444/providers/Microsoft.BillingBenefits/savingsPlans/cdb2546abe5e,savingsPlans-24ffcd877e,Savings Plan,southeastasia,Southeast Asia,,/subscriptions/44444444-4444-4444-8444-444444444444/providers/Microsoft.BillingBenefits/savingsPlans/cdb2546abe5e,AzureSavingsPlan-1yr-NoUpfront,Spend,Savings Plan,,0.128064,USD,,,"{""Environment"":""prod"",""CostCenter"":""cc-3110"",""Owner"":""team-data""}"
Microsoft Azure,Microsoft,Microsoft Azure,INV-2026-05-000002,8a1b2c3d-0000-4a00-9000-000000000002,ExampleCorp MCA - Secondary,Microsoft Customer Agreement,44444444-4444-4444-8444-444444444444,sandbox-dev,Subscription,2026-05-01T00:00:00Z,2026-06-01T00:00:00Z,2026-05-01T05:00:00Z,2026-05-01T06:00:00Z,Usage,,Virtual Machines committed usage,Usage-Based,0,0.128064,0.192,0.1728,0.1920000000,0.1728000000,Committed,1,Hours,USD,0.1728000000,0.128064,0.1920000000,USD,1,Hours,Virtual Machines,Compute,Virtual Machines,AZ-VIRT-ff15ef,Compute,AZSP-f567738f,"{""InstanceType"":""Standard_D4s_v5"",""InstanceSeries"":""Ddsv5"",""CoreCount"":4,""MemorySize"":16,""OperatingSystem"":""Linux"",""x_Tenancy"":""Shared""}",/subscriptions/44444444-4444-4444-8444-444444444444/resourceGroups/rg-sandbox-dev/providers/Microsoft.Compute/virtualMachines/vm-0000b9ee76,vm-0000b9ee76,Virtual Machine,southeastasia,Southeast Asia,southeastasia-1,/subscriptions/44444444-4444-4444-8444-444444444444/providers/Microsoft.BillingBenefits/savingsPlans/cdb2546abe5e,AzureSavingsPlan-1yr-NoUpfront,Spend,Savings Plan,Used,0.128064,USD,,,"{""Environment"":""dev"",""CostCenter"":""cc-2087"",""Owner"":""team-platform""}"
Microsoft Azure,Microsoft,Microsoft Azure,INV-2026-05-000002,8a1b2c3d-0000-4a00-9000-000000000002,ExampleCorp MCA - Secondary,Microsoft Customer Agreement,44444444-4444-4444-8444-444444444444,sandbox-dev,Subscription,2026-05-01T00:00:00Z,2026-06-01T00:00:00Z,2026-05-01T06:00:00Z,2026-05-01T07:00:00Z,Purchase,,"Savings Plan commitment, amortised for the charge period",Recurring,0.128064,0,0.128064,0.128064,1,1,Standard,0.128064,USD,USD,1.0000000000,0,1.0000000000,USD,,,Virtual Machines,Compute,Virtual Machines,AZ-COMMIT-c809b4,Commitment,AZSP-cb4dd822,"{""x_Term"":""P1Y"",""x_PaymentOption"":""NoUpfront""}",/subscriptions/44444444-4444-4444-8444-444444444444/providers/Microsoft.BillingBenefits/savingsPlans/cdb2546abe5e,savingsPlans-24ffcd877e,Savings Plan,southeastasia,Southeast Asia,,/subscriptions/44444444-4444-4444-8444-444444444444/providers/Microsoft.BillingBenefits/savingsPlans/cdb2546abe5e,AzureSavingsPlan-1yr-NoUpfront,Spend,Savings Plan,,0.128064,USD,,,"{""Environment"":""dev"",""CostCenter"":""cc-3110"",""Owner"":""team-platform""}"
Microsoft Azure,Microsoft,Microsoft Azure,INV-2026-05-000002,8a1b2c3d-0000-4a00-9000-000000000002,ExampleCorp MCA - Secondary,Microsoft Customer Agreement,44444444-4444-4444-8444-444444444444,sandbox-dev,Subscription,2026-05-01T00:00:00Z,2026-06-01T00:00:00Z,2026-05-01T06:00:00Z,2026-05-01T07:00:00Z,Usage,,Virtual Machines committed usage,Usage-Based,0,0.128064,0.192,0.1728,0.1920000000,0.1728000000,Committed,1,Hours,USD,0.1728000000,0.128064,0.1920000000,USD,1,Hours,Virtual Machines,Compute,Virtual Machines,AZ-VIRT-cbacac,Compute,AZSP-56256336,"{""InstanceType"":""Standard_D4s_v5"",""InstanceSeries"":""Ddsv5"",""CoreCount"":4,""MemorySize"":16,""OperatingSystem"":""Linux"",""x_Tenancy"":""Shared""}",/subscriptions/44444444-4444-4444-8444-444444444444/resourceGroups/rg-sandbox-dev/providers/Microsoft.Compute/virtualMachines/vm-0001af76f5,vm-0001af76f5,Virtual Machine,southeastasia,Southeast Asia,southeastasia-1,/subscriptions/44444444-4444-4444-8444-444444444444/providers/Microsoft.BillingBenefits/savingsPlans/cdb2546abe5e,AzureSavingsPlan-1yr-NoUpfront,Spend,Savings Plan,Used,0.128064,USD,,,"{""Environment"":""staging"",""CostCenter"":""cc-3110"",""Owner"":""team-payments""}"
Microsoft Azure,Microsoft,Microsoft Azure,INV-2026-05-000002,8a1b2c3d-0000-4a00-9000-000000000002,ExampleCorp MCA - Secondary,Microsoft Customer Agreement,44444444-4444-4444-8444-444444444444,sandbox-dev,Subscription,2026-05-01T00:00:00Z,2026-06-01T00:00:00Z,2026-05-01T07:00:00Z,2026-05-01T08:00:00Z,Purchase,,"Savings Plan commitment, amortised for the charge period",Recurring,0.128064,0,0.128064,0.128064,1,1,Standard,0.128064,USD,USD,1.0000000000,0,1.0000000000,USD,,,Virtual Machines,Compute,Virtual Machines,AZ-COMMIT-c809b4,Commitment,AZSP-cb4dd822,"{""x_Term"":""P1Y"",""x_PaymentOption"":""NoUpfront""}",/subscriptions/44444444-4444-4444-8444-444444444444/providers/Microsoft.BillingBenefits/savingsPlans/cdb2546abe5e,savingsPlans-24ffcd877e,Savings Plan,southeastasia,Southeast Asia,,/subscriptions/44444444-4444-4444-8444-444444444444/providers/Microsoft.BillingBenefits/savingsPlans/cdb2546abe5e,AzureSavingsPlan-1yr-NoUpfront,Spend,Savings Plan,,0.128064,USD,,,"{""Environment"":""dev"",""CostCenter"":""cc-3110"",""Owner"":""team-data""}"
