ContractCommitmentId,ContractCommitmentType,ContractCommitmentCategory,ContractCommitmentCost,ContractCommitmentQuantity,ContractCommitmentUnit,ContractCommitmentDescription,ContractCommitmentPeriodStart,ContractCommitmentPeriodEnd,ContractId,ContractPeriodStart,ContractPeriodEnd,BillingCurrency
CC-EA-SPEND-0001,Enterprise Agreement Minimum Spend,Spend,250000,,,Annual minimum spend committed under the enterprise agreement,2026-01-31T00:00:00Z,2027-01-31T00:00:00Z,CONTRACT-EA-2026-0001,2026-01-31T00:00:00Z,2027-01-31T00:00:00Z,USD
CC-EA-STORAGE-0002,Negotiated Storage Rate Card,Spend,48000,,,Negotiated S3 storage rate card,2026-01-31T00:00:00Z,2027-01-31T00:00:00Z,CONTRACT-EA-2026-0001,2026-01-31T00:00:00Z,2027-01-31T00:00:00Z,USD
CC-EA-COMPUTE-0003,Compute Usage Commitment,Usage,180000,2000000.0,Hours,Committed annual EC2 compute hours,2026-01-31T00:00:00Z,2027-01-31T00:00:00Z,CONTRACT-EA-2026-0001,2026-01-31T00:00:00Z,2027-01-31T00:00:00Z,USD
arn:aws:ec2:us-east-1::reservation/1473bd0ea6ea2540,Reserved Instance,Usage,280460.16,4380000.0,Hours,EC2ReservedInstance-1yr-NoUpfront,2026-05-01T00:00:00Z,2027-05-01T00:00:00Z,CONTRACT-CD-0001,2026-03-02T00:00:00Z,2027-05-01T00:00:00Z,USD
arn:aws:savingsplans:us-west-2::savingsplan/5bfb6525ebaa5a25,Savings Plan,Spend,280460.16,,,ComputeSavingsPlan-1yr-NoUpfront,2026-04-01T00:00:00Z,2027-04-01T00:00:00Z,CONTRACT-CD-0001,2026-03-02T00:00:00Z,2027-05-01T00:00:00Z,USD
arn:aws:ec2:us-west-2::reservation/3b4dce952d828355,Reserved Instance,Usage,280460.16,4380000.0,Hours,EC2ReservedInstance-1yr-NoUpfront,2026-03-02T00:00:00Z,2027-03-02T00:00:00Z,CONTRACT-CD-0001,2026-03-02T00:00:00Z,2027-05-01T00:00:00Z,USD
arn:aws:savingsplans:us-east-1::savingsplan/c83c06cb35b406a9,Savings Plan,Spend,280460.16,,,ComputeSavingsPlan-1yr-NoUpfront,2026-05-01T00:00:00Z,2027-05-01T00:00:00Z,CONTRACT-CD-0002,2026-03-02T00:00:00Z,2027-05-01T00:00:00Z,USD
arn:aws:savingsplans:us-east-1::savingsplan/92e4acaf3c4b87b0,Savings Plan,Spend,280460.16,,,ComputeSavingsPlan-1yr-NoUpfront,2026-04-01T00:00:00Z,2027-04-01T00:00:00Z,CONTRACT-CD-0002,2026-03-02T00:00:00Z,2027-05-01T00:00:00Z,USD
arn:aws:ec2:eu-west-1::reservation/a1b21348903a83bf,Reserved Instance,Usage,280460.16,4380000.0,Hours,EC2ReservedInstance-1yr-NoUpfront,2026-03-02T00:00:00Z,2027-03-02T00:00:00Z,CONTRACT-CD-0002,2026-03-02T00:00:00Z,2027-05-01T00:00:00Z,USD
arn:aws:savingsplans:eu-west-1::savingsplan/420bf21df4c0adfc,Savings Plan,Spend,280460.16,,,ComputeSavingsPlan-1yr-NoUpfront,2026-05-01T00:00:00Z,2027-05-01T00:00:00Z,CONTRACT-CD-0003,2026-03-02T00:00:00Z,2027-05-01T00:00:00Z,USD
arn:aws:savingsplans:us-west-2::savingsplan/0ffb13704f59e8a5,Savings Plan,Spend,280460.16,,,ComputeSavingsPlan-1yr-NoUpfront,2026-04-01T00:00:00Z,2027-04-01T00:00:00Z,CONTRACT-CD-0003,2026-03-02T00:00:00Z,2027-05-01T00:00:00Z,USD
arn:aws:ec2:eu-west-1::reservation/3118ca76fafdfb23,Reserved Instance,Usage,280460.16,4380000.0,Hours,EC2ReservedInstance-1yr-NoUpfront,2026-03-02T00:00:00Z,2027-03-02T00:00:00Z,CONTRACT-CD-0003,2026-03-02T00:00:00Z,2027-05-01T00:00:00Z,USD
arn:aws:ec2:eu-west-1::reservation/522cd7da8e4e9d0f,Reserved Instance,Usage,280460.16,4380000.0,Hours,EC2ReservedInstance-1yr-NoUpfront,2026-05-01T00:00:00Z,2027-05-01T00:00:00Z,CONTRACT-CD-0004,2026-03-02T00:00:00Z,2027-05-01T00:00:00Z,USD
arn:aws:savingsplans:us-west-2::savingsplan/499f0afc27b1f25a,Savings Plan,Spend,280460.16,,,ComputeSavingsPlan-1yr-NoUpfront,2026-04-01T00:00:00Z,2027-04-01T00:00:00Z,CONTRACT-CD-0004,2026-03-02T00:00:00Z,2027-05-01T00:00:00Z,USD
arn:aws:savingsplans:ap-southeast-1::savingsplan/10eb7543a6c46327,Savings Plan,Spend,280460.16,,,ComputeSavingsPlan-1yr-NoUpfront,2026-03-02T00:00:00Z,2027-03-02T00:00:00Z,CONTRACT-CD-0004,2026-03-02T00:00:00Z,2027-05-01T00:00:00Z,USD
arn:aws:savingsplans:us-east-1::savingsplan/28bfd448d9d2722e,Savings Plan,Spend,280460.16,,,ComputeSavingsPlan-1yr-NoUpfront,2026-05-01T00:00:00Z,2027-05-01T00:00:00Z,CONTRACT-CD-0005,2026-03-02T00:00:00Z,2027-05-01T00:00:00Z,USD
arn:aws:ec2:eu-west-1::reservation/9be5d0180a2ac9d2,Reserved Instance,Usage,280460.16,4380000.0,Hours,EC2ReservedInstance-1yr-NoUpfront,2026-04-01T00:00:00Z,2027-04-01T00:00:00Z,CONTRACT-CD-0005,2026-03-02T00:00:00Z,2027-05-01T00:00:00Z,USD
arn:aws:savingsplans:ap-southeast-1::savingsplan/1a3d56fc3e02b067,Savings Plan,Spend,280460.16,,,ComputeSavingsPlan-1yr-NoUpfront,2026-03-02T00:00:00Z,2027-03-02T00:00:00Z,CONTRACT-CD-0005,2026-03-02T00:00:00Z,2027-05-01T00:00:00Z,USD
arn:aws:ec2:us-east-1::reservation/73133c9be91984c3,Reserved Instance,Usage,280460.16,4380000.0,Hours,EC2ReservedInstance-1yr-NoUpfront,2026-05-01T00:00:00Z,2027-05-01T00:00:00Z,CONTRACT-CD-0006,2026-03-02T00:00:00Z,2027-05-01T00:00:00Z,USD
arn:aws:savingsplans:eu-west-1::savingsplan/1088e10a6f88571c,Savings Plan,Spend,280460.16,,,ComputeSavingsPlan-1yr-NoUpfront,2026-04-01T00:00:00Z,2027-04-01T00:00:00Z,CONTRACT-CD-0006,2026-03-02T00:00:00Z,2027-05-01T00:00:00Z,USD
arn:aws:savingsplans:eu-west-1::savingsplan/e50a162b19be03b8,Savings Plan,Spend,280460.16,,,ComputeSavingsPlan-1yr-NoUpfront,2026-03-02T00:00:00Z,2027-03-02T00:00:00Z,CONTRACT-CD-0006,2026-03-02T00:00:00Z,2027-05-01T00:00:00Z,USD
