ContractCommitmentId,ContractCommitmentType,ContractCommitmentCategory,ContractCommitmentCost,ContractCommitmentQuantity,ContractCommitmentUnit,ContractCommitmentDescription,ContractCommitmentPeriodStart,ContractCommitmentPeriodEnd,ContractId,ContractPeriodStart,ContractPeriodEnd,BillingCurrency
/subscriptions/44444444-4444-4444-8444-444444444444/providers/Microsoft.BillingBenefits/savingsPlans/f1f5c3a85fa4,Savings Plan,Spend,1121.840640,1121.840640,USD,AzureSavingsPlan-1yr-AllUpfront,2026-05-01T00:00:00Z,2027-05-01T00:00:00Z,CONTRACT-f1f5c3a85fa4,2026-05-01T00:00:00Z,2027-05-01T00:00:00Z,USD
/subscriptions/44444444-4444-4444-8444-444444444444/providers/Microsoft.BillingBenefits/reservations/065eda2c5316,Reservation,Usage,1121.840640,8760,Hours,AzureReservation-1yr-AllUpfront,2026-05-01T00:00:00Z,2027-05-01T00:00:00Z,CONTRACT-065eda2c5316,2026-05-01T00:00:00Z,2027-05-01T00:00:00Z,USD
/subscriptions/33333333-3333-4333-8333-333333333333/providers/Microsoft.BillingBenefits/savingsPlans/943c4437809d,Savings Plan,Spend,1121.840640,1121.840640,USD,AzureSavingsPlan-1yr-AllUpfront,2026-05-01T00:00:00Z,2027-05-01T00:00:00Z,CONTRACT-943c4437809d,2026-05-01T00:00:00Z,2027-05-01T00:00:00Z,USD
/subscriptions/44444444-4444-4444-8444-444444444444/providers/Microsoft.BillingBenefits/savingsPlans/f7e08687140a,Savings Plan,Spend,1121.840640,1121.840640,USD,AzureSavingsPlan-1yr-AllUpfront,2026-05-01T00:00:00Z,2027-05-01T00:00:00Z,CONTRACT-f7e08687140a,2026-05-01T00:00:00Z,2027-05-01T00:00:00Z,USD
/subscriptions/22222222-2222-4222-8222-222222222222/providers/Microsoft.BillingBenefits/savingsPlans/8232f20c1d9b,Savings Plan,Spend,1121.840640,1121.840640,USD,AzureSavingsPlan-1yr-AllUpfront,2026-05-01T00:00:00Z,2027-05-01T00:00:00Z,CONTRACT-8232f20c1d9b,2026-05-01T00:00:00Z,2027-05-01T00:00:00Z,USD
/subscriptions/22222222-2222-4222-8222-222222222222/providers/Microsoft.BillingBenefits/savingsPlans/ac588fde3fa2,Savings Plan,Spend,1121.840640,1121.840640,USD,AzureSavingsPlan-1yr-AllUpfront,2026-05-01T00:00:00Z,2027-05-01T00:00:00Z,CONTRACT-ac588fde3fa2,2026-05-01T00:00:00Z,2027-05-01T00:00:00Z,USD
/subscriptions/22222222-2222-4222-8222-222222222222/providers/Microsoft.BillingBenefits/savingsPlans/aef741120e6f,Savings Plan,Spend,1121.840640,1121.840640,USD,AzureSavingsPlan-1yr-AllUpfront,2026-05-01T00:00:00Z,2027-05-01T00:00:00Z,CONTRACT-aef741120e6f,2026-05-01T00:00:00Z,2027-05-01T00:00:00Z,USD
/subscriptions/11111111-1111-4111-8111-111111111111/providers/Microsoft.BillingBenefits/reservations/7a2f2aed399c,Reservation,Usage,1121.840640,8760,Hours,AzureReservation-1yr-AllUpfront,2026-05-01T00:00:00Z,2027-05-01T00:00:00Z,CONTRACT-7a2f2aed399c,2026-05-01T00:00:00Z,2027-05-01T00:00:00Z,USD
/subscriptions/11111111-1111-4111-8111-111111111111/providers/Microsoft.BillingBenefits/savingsPlans/8885997fc142,Savings Plan,Spend,1121.840640,1121.840640,USD,AzureSavingsPlan-1yr-AllUpfront,2026-05-01T00:00:00Z,2027-05-01T00:00:00Z,CONTRACT-8885997fc142,2026-05-01T00:00:00Z,2027-05-01T00:00:00Z,USD
/subscriptions/22222222-2222-4222-8222-222222222222/providers/Microsoft.BillingBenefits/reservations/cc9f7f41a863,Reservation,Usage,1121.840640,8760,Hours,AzureReservation-1yr-AllUpfront,2026-05-01T00:00:00Z,2027-05-01T00:00:00Z,CONTRACT-cc9f7f41a863,2026-05-01T00:00:00Z,2027-05-01T00:00:00Z,USD
