ProviderName,PublisherName,ServiceProviderName,HostProviderName,InvoiceIssuerName,InvoiceId,BillingAccountId,BillingAccountName,BillingAccountType,SubAccountId,SubAccountName,SubAccountType,BillingPeriodStart,BillingPeriodEnd,ChargePeriodStart,ChargePeriodEnd,ChargeCategory,ChargeClass,ChargeDescription,ChargeFrequency,BilledCost,EffectiveCost,ListCost,ContractedCost,ListUnitPrice,ContractedUnitPrice,PricingCategory,PricingQuantity,PricingUnit,PricingCurrency,PricingCurrencyContractedUnitPrice,PricingCurrencyEffectiveCost,PricingCurrencyListUnitPrice,BillingCurrency,ConsumedQuantity,ConsumedUnit,ServiceName,ServiceCategory,ServiceSubcategory,SkuId,SkuMeter,SkuPriceId,SkuPriceDetails,ResourceId,ResourceName,ResourceType,RegionId,RegionName,AvailabilityZone,CommitmentDiscountId,CommitmentDiscountName,CommitmentDiscountCategory,CommitmentDiscountType,CommitmentDiscountStatus,CommitmentDiscountQuantity,CommitmentDiscountUnit,ContractApplied,CapacityReservationId,CapacityReservationStatus,AllocatedMethodId,AllocatedMethodDetails,AllocatedResourceId,AllocatedResourceName,AllocatedTags,Tags
AWS,AWS,AWS,AWS,AWS,INV-2026-05-0002,100000000002,ExampleCorp Secondary Payer,Payer Account,200000000012,staging-platform,Linked Account,2026-05-01T00:00:00Z,2026-06-01T00:00:00Z,2026-05-01T00:00:00Z,2026-06-01T00:00:00Z,Usage,,S3 Standard storage,Usage-Based,118.888990,118.888990,132.098878,118.888990,0.0226376380,0.0203738742,Standard,5835.3649,GB-Months,USD,0.0203738742,118.888990,0.0226376380,USD,5835.3649,GB-Months,AmazonS3,Storage,Object Storage,SKU-AMAZON-77693f,Storage,SPRICE-13a6e366,"{""x_StorageClass"":""Standard"",""x_Redundancy"":""LRS""}",arn:aws:s3:ap-southeast-1:100000000002:bucket/bucket-f36bd2c40f3a,bucket-f36bd2c40f3a,S3 Bucket,ap-southeast-1,Asia Pacific (Singapore),,,,,,,,,,,,,,,,,"{""Environment"":""dev"",""CostCenter"":""cc-1042"",""Owner"":""team-payments""}"
AWS,AWS,AWS,AWS,AWS,INV-2026-05-0002,100000000002,ExampleCorp Secondary Payer,Payer Account,200000000012,staging-platform,Linked Account,2026-05-01T00:00:00Z,2026-06-01T00:00:00Z,2026-05-01T01:00:00Z,2026-05-01T02:00:00Z,Usage,,Shared EC2 host cost allocated to workload,Usage-Based,0.030185,0.030185,0.033539,0.030185,0.0943153841,0.0848838457,Standard,0.3556,Hours,USD,0.0848838457,0.030185,0.0943153841,USD,0.3556,Hours,AmazonEC2,Compute,Virtual Machines,SKU-AMAZON-b94627,Compute,SPRICE-3b084761,"{""InstanceType"":""m6i.large"",""InstanceSeries"":""M6i"",""CoreCount"":2,""MemorySize"":8,""OperatingSystem"":""Linux"",""x_Tenancy"":""Shared""}",arn:aws:ec2:us-west-2:100000000002:instance/shared-host-e076798d,shared-host-e076798d,EC2 Instance,us-west-2,US West (Oregon),us-west-2b,,,,,,,,,,,split-proportional,"{""Elements"":[{""AllocatedRatio"":""0.3556"",""UsageUnit"":""Hours"",""UsageQuantity"":""0.3556"",""x_Strategy"":""Proportional"",""x_Basis"":""vCPUSeconds""}]}",arn:aws:eks:us-west-2:100000000002:workload/billing-ef4ce5,workload-billing,"{""workload"":""billing"",""CostCenter"":""cc-1042""}","{""Environment"":""staging"",""CostCenter"":""cc-2087"",""Owner"":""team-data""}"
AWS,AWS,AWS,AWS,AWS,INV-2026-05-0001,100000000001,ExampleCorp Master Payer,Payer Account,200000000011,prod-platform,Linked Account,2026-05-01T00:00:00Z,2026-06-01T00:00:00Z,2026-05-01T02:00:00Z,2026-05-01T03:00:00Z,Usage,,Shared EC2 host cost allocated to workload,Usage-Based,0.066868,0.066868,0.074297,0.066868,0.0948759325,0.0853883393,Standard,0.7831,Hours,USD,0.0853883393,0.066868,0.0948759325,USD,0.7831,Hours,AmazonEC2,Compute,Virtual Machines,SKU-AMAZON-8f25d5,Compute,SPRICE-9ccc8963,"{""InstanceType"":""m6i.large"",""InstanceSeries"":""M6i"",""CoreCount"":2,""MemorySize"":8,""OperatingSystem"":""Linux"",""x_Tenancy"":""Shared""}",arn:aws:ec2:us-west-2:100000000001:instance/shared-host-7206afc5,shared-host-7206afc5,EC2 Instance,us-west-2,US West (Oregon),us-west-2a,,,,,,,,,,,split-proportional,"{""Elements"":[{""AllocatedRatio"":""0.7831"",""UsageUnit"":""Hours"",""UsageQuantity"":""0.7831"",""x_Strategy"":""Proportional"",""x_Basis"":""vCPUSeconds""}]}",arn:aws:eks:us-west-2:100000000001:workload/search-10f540,workload-search,"{""workload"":""search"",""CostCenter"":""cc-2087""}","{""Environment"":""staging"",""CostCenter"":""cc-2087"",""Owner"":""team-data""}"
AWS,AWS,AWS,AWS,AWS,INV-2026-05-0001,100000000001,ExampleCorp Master Payer,Payer Account,200000000013,data-analytics,Linked Account,2026-05-01T00:00:00Z,2026-06-01T00:00:00Z,2026-05-04T00:00:00Z,2026-05-05T00:00:00Z,Tax,,Tax for AWSLambda,One-Time,32.284525,32.284525,32.284525,32.284525,,,,,,USD,,32.284525,,USD,,,AWSLambda,Compute,Serverless Compute,,,,,,,,,,,,,,,,,,,,,,,,,,"{""Environment"":""prod"",""CostCenter"":""cc-3110"",""Owner"":""team-data""}"
AWS,AWS,AWS,AWS,AWS,INV-2026-05-0001,100000000001,ExampleCorp Master Payer,Payer Account,200000000013,data-analytics,Linked Account,2026-05-01T00:00:00Z,2026-06-01T00:00:00Z,2026-05-05T00:00:00Z,2026-05-06T00:00:00Z,Tax,,Tax for AWSGlue,One-Time,22.701752,22.701752,22.701752,22.701752,,,,,,USD,,22.701752,,USD,,,AWSGlue,Analytics,Data Processing,,,,,,,,,,,,,,,,,,,,,,,,,,"{""Environment"":""staging"",""CostCenter"":""cc-3110"",""Owner"":""team-payments""}"
AWS,AWS,AWS,AWS,AWS,INV-2026-05-0002,100000000002,ExampleCorp Secondary Payer,Payer Account,200000000011,prod-platform,Linked Account,2026-05-01T00:00:00Z,2026-06-01T00:00:00Z,2026-05-01T05:00:00Z,2026-05-01T06:00:00Z,Usage,,Shared EC2 host cost allocated to workload,Usage-Based,0.064503,0.064503,0.071670,0.064503,0.0982717264,0.0884445538,Standard,0.7293,Hours,USD,0.0884445538,0.064503,0.0982717264,USD,0.7293,Hours,AmazonEC2,Compute,Virtual Machines,SKU-AMAZON-251bfd,Compute,SPRICE-31405490,"{""InstanceType"":""m6i.large"",""InstanceSeries"":""M6i"",""CoreCount"":2,""MemorySize"":8,""OperatingSystem"":""Linux"",""x_Tenancy"":""Shared""}",arn:aws:ec2:us-west-2:100000000002:instance/shared-host-bc69e2f7,shared-host-bc69e2f7,EC2 Instance,us-west-2,US West (Oregon),us-west-2b,,,,,,,,,,,split-proportional,"{""Elements"":[{""AllocatedRatio"":""0.7293"",""UsageUnit"":""Hours"",""UsageQuantity"":""0.7293"",""x_Strategy"":""Proportional"",""x_Basis"":""vCPUSeconds""}]}",arn:aws:eks:us-west-2:100000000002:workload/checkout-1cdf89,workload-checkout,"{""workload"":""checkout"",""CostCenter"":""cc-2087""}","{""Environment"":""prod"",""CostCenter"":""cc-3110"",""Owner"":""team-platform""}"
AWS,AWS,AWS,AWS,AWS,INV-2026-05-0001,100000000001,ExampleCorp Master Payer,Payer Account,200000000011,prod-platform,Linked Account,2026-05-01T00:00:00Z,2026-06-01T00:00:00Z,2026-05-07T00:00:00Z,2026-05-08T00:00:00Z,Usage,,DynamoDB on-demand write requests,Usage-Based,3.846892,3.846892,4.274478,3.846892,0.0000012376,0.0000011138,Standard,3453844.2103,Requests,EUR,0.0000010247,3.539141,0.0000011386,USD,3453844.2103,Requests,AmazonDynamoDB,Databases,NoSQL Databases,SKU-AMAZON-c3bbf6,Database,SPRICE-7e59d481,"{""x_CapacityMode"":""On-Demand""}",arn:aws:dynamodb:us-west-2:100000000001:table/table-c2b22a75a57a,table-c2b22a75a57a,DynamoDB Table,us-west-2,US West (Oregon),,,,,,,,,,,,,,,,,"{""Environment"":""dev"",""CostCenter"":""cc-1042"",""Owner"":""team-platform""}"
AWS,AWS,AWS,AWS,AWS,INV-2026-05-0001,100000000001,ExampleCorp Master Payer,Payer Account,200000000012,staging-platform,Linked Account,2026-05-01T00:00:00Z,2026-06-01T00:00:00Z,2026-05-08T00:00:00Z,2026-05-09T00:00:00Z,Usage,,NAT gateway data processed,Usage-Based,1.907474,1.907474,2.119416,1.907474,0.0438515486,0.0394663937,Standard,48.3316,GB,USD,0.0394663937,1.907474,0.0438515486,USD,48.3316,GB,AmazonVPC,Networking,Network Connectivity,SKU-AMAZON-5fa413,Data Transfer,SPRICE-b68229c1,"{""x_TransferType"":""InterAZ""}",arn:aws:vpc:ap-southeast-1:100000000001:natgateway/nat-6e3ef1f5c3a8,nat-6e3ef1f5c3a8,NAT Gateway,ap-southeast-1,Asia Pacific (Singapore),,,,,,,,,,,,,,,,,"{""Environment"":""prod"",""CostCenter"":""cc-1042"",""Owner"":""team-data""}"
AWS,AWS,AWS,AWS,AWS,INV-2026-05-0002,100000000002,ExampleCorp Secondary Payer,Payer Account,200000000014,sandbox-dev,Linked Account,2026-05-01T00:00:00Z,2026-06-01T00:00:00Z,2026-05-01T00:00:00Z,2026-05-01T01:00:00Z,Purchase,,Savings Plan commitment purchase (all upfront),One-Time,560.920320,0.000000,560.920320,560.920320,560.920320,560.920320,Standard,1,Units,USD,560.9203200000,0.000000,560.9203200000,USD,,,AmazonEC2,Compute,Virtual Machines,SKU-COMMIT-10984a,Commitment,SPRICE-98812636,"{""x_PurchaseTerm"":""1yr"",""x_PaymentOption"":""AllUpfront""}",arn:aws:savingsplans:ap-southeast-1::savingsplan/87e658ebce8c60a0,savingsplan-8a8338088b63,Savings Plan,ap-southeast-1,Asia Pacific (Singapore),,arn:aws:savingsplans:ap-southeast-1::savingsplan/87e658ebce8c60a0,ComputeSavingsPlan-1yr-AllUpfront,Spend,Savings Plan,,560.920320,USD,,,,,,,,,"{""Environment"":""dev"",""CostCenter"":""cc-1042"",""Owner"":""team-data""}"
AWS,AWS,AWS,AWS,AWS,INV-2026-05-0002,100000000002,ExampleCorp Secondary Payer,Payer Account,200000000014,sandbox-dev,Linked Account,2026-05-01T00:00:00Z,2026-06-01T00:00:00Z,2026-05-01T09:00:00Z,2026-05-01T10:00:00Z,Usage,,AmazonEC2 committed usage,Usage-Based,0.000000,0.064032,0.096000,0.064032,0.0960000000,0.0640320000,Committed,1.0000,Hours,USD,0.0640320000,0.064032,0.0960000000,USD,1.0000,Hours,AmazonEC2,Compute,Virtual Machines,SKU-AMAZON-339249,Compute,SPRICE-aebe1647,"{""InstanceType"":""m6i.large"",""InstanceSeries"":""M6i"",""CoreCount"":2,""MemorySize"":8,""OperatingSystem"":""Linux"",""x_Tenancy"":""Shared""}",arn:aws:ec2:ap-southeast-1:100000000002:instance/i-0000d1475406,i-0000d1475406,EC2 Instance,ap-southeast-1,Asia Pacific (Singapore),ap-southeast-1a,arn:aws:savingsplans:ap-southeast-1::savingsplan/87e658ebce8c60a0,ComputeSavingsPlan-1yr-AllUpfront,Spend,Savings Plan,Used,0.064032,USD,"{""Elements"":[{""ContractCommitmentId"":""arn:aws:savingsplans:ap-southeast-1::savingsplan/87e658ebce8c60a0"",""ContractId"":""CONTRACT-87e658ebce8c"",""AppliedCost"":""0.064032"",""AppliedQuantity"":""1.0000"",""AppliedUnit"":""Hours""}]}",,,,,,,,"{""Environment"":""staging"",""CostCenter"":""cc-3110"",""Owner"":""team-data""}"
