ProviderName,PublisherName,ServiceProviderName,HostProviderName,InvoiceIssuerName,InvoiceId,BillingAccountId,BillingAccountName,BillingAccountType,SubAccountId,SubAccountName,SubAccountType,BillingPeriodStart,BillingPeriodEnd,ChargePeriodStart,ChargePeriodEnd,ChargeCategory,ChargeClass,ChargeDescription,ChargeFrequency,BilledCost,EffectiveCost,ListCost,ContractedCost,ListUnitPrice,ContractedUnitPrice,PricingCategory,PricingQuantity,PricingUnit,PricingCurrency,PricingCurrencyContractedUnitPrice,PricingCurrencyEffectiveCost,PricingCurrencyListUnitPrice,BillingCurrency,ConsumedQuantity,ConsumedUnit,ServiceName,ServiceCategory,ServiceSubcategory,SkuId,SkuMeter,SkuPriceId,SkuPriceDetails,ResourceId,ResourceName,ResourceType,RegionId,RegionName,AvailabilityZone,CommitmentDiscountId,CommitmentDiscountName,CommitmentDiscountCategory,CommitmentDiscountType,CommitmentDiscountStatus,CommitmentDiscountQuantity,CommitmentDiscountUnit,ContractApplied,CapacityReservationId,CapacityReservationStatus,AllocatedMethodId,AllocatedMethodDetails,AllocatedResourceId,AllocatedResourceName,AllocatedTags,Tags
Google Cloud,Google,Google Cloud,Google Cloud,Google Cloud,INV-2026-05-A7B8C9,11C2D3-E4F506-A7B8C9,ExampleCorp Billing - Secondary,Billing Account,examplecorp-staging-552831,staging-platform,Project,2026-05-01T00:00:00Z,2026-06-01T00:00:00Z,2026-05-01T00:00:00Z,2026-06-01T00:00:00Z,Usage,,Standard storage,Usage-Based,135.4517748,135.4517748,150.501972,135.4517748,0.0200000000,0.0180000000,Standard,7525.0986,GB-Months,USD,0.0180000000,135.4517748,0.0200000000,USD,7525.0986,GB-Months,Cloud Storage,Storage,Object Storage,SKU-48e52b42c3a2a664e72c7c8d,Storage,SPRICE-acaf4d3f193ddc335413e7e0,"{""StorageClass"":""Standard""}",//storage.googleapis.com/projects/examplecorp-staging-552831/buckets/bucket-f36bd2c4,bucket-f36bd2c4,Storage Bucket,asia-southeast1,Singapore,,,,,,,,,"{""Elements"":[{""ContractId"":""CONTRACT-GCC-2026-0001"",""ContractCommitmentId"":""CC-GCC-STORAGE-0002"",""ContractCommitmentAppliedCost"":135.45177480000000}]}",,,,,,,,"{""environment"":""dev"",""cost-center"":""cc-1042"",""owner"":""team-payments""}"
Google Cloud,Google,Google Cloud,Google Cloud,Google Cloud,INV-2026-05-A7B8C9,11C2D3-E4F506-A7B8C9,ExampleCorp Billing - Secondary,Billing Account,examplecorp-staging-552831,staging-platform,Project,2026-05-01T00:00:00Z,2026-06-01T00:00:00Z,2026-05-01T00:00:00Z,2026-06-01T00:00:00Z,Tax,,Synthetic tax 10% on usage record 1: Cloud Storage,One-Time,13.54517748,13.54517748,15.0501972,13.54517748,,,,,,USD,,13.54517748,,USD,,,Cloud Storage,Storage,Object Storage,,,,,,,,,,,,,,,,,,,,,,,,,,"{""environment"":""dev"",""cost-center"":""cc-1042"",""owner"":""team-payments""}"
Google Cloud,Google,Google Cloud,Google Cloud,Google Cloud,INV-2026-05-A7B8C9,11C2D3-E4F506-A7B8C9,ExampleCorp Billing - Secondary,Billing Account,examplecorp-prod-481627,prod-platform,Project,2026-05-01T00:00:00Z,2026-06-01T00:00:00Z,2026-05-01T02:00:00Z,2026-05-01T03:00:00Z,Usage,,Shared Compute Engine host cost allocated to workload,Usage-Based,0.0536402,0.0536402,0.0536402,0.0536402,0.1340000000,0.1340000000,Standard,0.4003,Hours,USD,0.1340000000,0.0536402,0.1340000000,USD,0.4003,Hours,Compute Engine,Compute,Virtual Machines,SKU-1badc439797b2cd5d91eaa22,Compute,SPRICE-0e8670e23a7f9352bf5b81bc,"{""InstanceType"":""e2-standard-4"",""InstanceSeries"":""E2"",""CoreCount"":4,""MemorySize"":16,""OperatingSystem"":""Linux"",""x_Preemptible"":""false""}",//compute.googleapis.com/projects/examplecorp-prod-481627/instances/shared-host-a6e3667d,shared-host-a6e3667d,Compute Instance,europe-west1,Belgium,europe-west1-c,,,,,,,,,,,split-even,"{""Elements"":[{""AllocatedRatio"":1,""UsageUnit"":""Hours"",""UsageQuantity"":0.4003,""x_Strategy"":""Even"",""x_Basis"":""Workloads""}]}",//container.googleapis.com/projects/examplecorp-prod-481627/clusters/gke-79cde0/workloads/search,workload-search,"{""workload"":""search"",""cost-center"":""cc-1042""}","{""environment"":""staging"",""cost-center"":""cc-1042"",""owner"":""team-platform""}"
Google Cloud,Google,Google Cloud,Google Cloud,Google Cloud,INV-2026-05-A7B8C9,11C2D3-E4F506-A7B8C9,ExampleCorp Billing - Secondary,Billing Account,examplecorp-data-739104,data-analytics,Project,2026-05-01T00:00:00Z,2026-06-01T00:00:00Z,2026-05-01T03:00:00Z,2026-05-01T04:00:00Z,Usage,,Shared Compute Engine host cost allocated to workload,Usage-Based,0.0249106,0.0249106,0.0249106,0.0249106,0.1340000000,0.1340000000,Standard,0.1859,Hours,USD,0.1340000000,0.0249106,0.1340000000,USD,0.1859,Hours,Compute Engine,Compute,Virtual Machines,SKU-1badc439797b2cd5d91eaa22,Compute,SPRICE-0e8670e23a7f9352bf5b81bc,"{""InstanceType"":""e2-standard-4"",""InstanceSeries"":""E2"",""CoreCount"":4,""MemorySize"":16,""OperatingSystem"":""Linux"",""x_Preemptible"":""false""}",//compute.googleapis.com/projects/examplecorp-data-739104/instances/shared-host-946273b0,shared-host-946273b0,Compute Instance,europe-west1,Belgium,europe-west1-c,,,,,,,,,,,split-proportional,"{""Elements"":[{""AllocatedRatio"":1,""UsageUnit"":""Hours"",""UsageQuantity"":0.1859,""x_Strategy"":""Proportional"",""x_Basis"":""vCPUSeconds""}]}",//container.googleapis.com/projects/examplecorp-data-739104/clusters/gke-1ea695/workloads/search,workload-search,"{""workload"":""search"",""cost-center"":""cc-3110""}","{""environment"":""dev"",""cost-center"":""cc-2087"",""owner"":""team-data""}"
Google Cloud,Google,Google Cloud,Google Cloud,Google Cloud,INV-2026-05-F70819,01A2B3-C4D5E6-F70819,ExampleCorp Billing - Primary,Billing Account,examplecorp-sandbox-160942,sandbox-dev,Project,2026-05-01T00:00:00Z,2026-06-01T00:00:00Z,2026-05-01T04:00:00Z,2026-05-01T05:00:00Z,Usage,,Cloud Run vCPU allocation,Usage-Based,106.96304543256,106.96304543256,118.8478282584,106.96304543256,0.0000240000,0.0000216000,Standard,4951992.8441,Core-Seconds,USD,0.0000216000,106.96304543256,0.0000240000,USD,4951992.8441,Core-Seconds,Cloud Run,Compute,Serverless Compute,SKU-3b45c232fa69d636eca8dc39,Compute,SPRICE-9c404e5e6026ce0b2e5ce800,"{""x_Generation"":""gen2""}",//run.googleapis.com/projects/examplecorp-sandbox-160942/services/svc-b471b987,svc-b471b987,Cloud Run Service,asia-southeast1,Singapore,,,,,,,,,"{""Elements"":[{""ContractId"":""CONTRACT-GCC-2026-0001"",""ContractCommitmentId"":""CC-GCC-SPEND-0001"",""ContractCommitmentAppliedCost"":106.96304543256000}]}",,,,,,,,"{""environment"":""staging"",""cost-center"":""cc-1042"",""owner"":""team-platform""}"
Google Cloud,Google,Google Cloud,Google Cloud,Google Cloud,INV-2026-05-A7B8C9,11C2D3-E4F506-A7B8C9,ExampleCorp Billing - Secondary,Billing Account,examplecorp-sandbox-160942,sandbox-dev,Project,2026-05-01T00:00:00Z,2026-06-01T00:00:00Z,2026-05-06T00:00:00Z,2026-05-07T00:00:00Z,Usage,,On-demand query analysis,Usage-Based,58.1574375,58.1574375,64.619375,58.1574375,6.2500000000,5.6250000000,Standard,10.3391,TiB,USD,5.6250000000,58.1574375,6.2500000000,USD,10.3391,TiB,BigQuery,Databases,Data Warehouses,SKU-e14c81c3b9dbfe726f5234cc,Analysis,SPRICE-a31e8b202bbc80cffe86259c,"{""x_Edition"":""OnDemand""}",//bigquery.googleapis.com/projects/examplecorp-sandbox-160942/datasets/ds_d59ccc89,ds_d59ccc89,BigQuery Dataset,europe-west1,Belgium,,,,,,,,,"{""Elements"":[{""ContractId"":""CONTRACT-GCC-2026-0001"",""ContractCommitmentId"":""CC-GCC-SPEND-0001"",""ContractCommitmentAppliedCost"":58.15743750000000}]}",,,,,,,,"{""environment"":""prod"",""cost-center"":""cc-1042"",""owner"":""team-payments""}"
Google Cloud,Google,Google Cloud,Google Cloud,Google Cloud,INV-2026-05-A7B8C9,11C2D3-E4F506-A7B8C9,ExampleCorp Billing - Secondary,Billing Account,examplecorp-prod-481627,prod-platform,Project,2026-05-01T00:00:00Z,2026-06-01T00:00:00Z,2026-05-01T02:00:00Z,2026-05-01T03:00:00Z,Tax,,Synthetic tax 10% on usage record 3: Compute Engine,One-Time,0.00536402,0.00536402,0.00536402,0.00536402,,,,,,USD,,0.00536402,,USD,,,Compute Engine,Compute,Virtual Machines,,,,,,,,,,,,,,,,,,,,,,,,,,"{""environment"":""staging"",""cost-center"":""cc-1042"",""owner"":""team-platform""}"
Google Cloud,Google,Google Cloud,Google Cloud,Google Cloud,INV-2026-05-A7B8C9,11C2D3-E4F506-A7B8C9,ExampleCorp Billing - Secondary,Billing Account,examplecorp-sandbox-160942,sandbox-dev,Project,2026-05-01T00:00:00Z,2026-06-01T00:00:00Z,2026-05-06T00:00:00Z,2026-05-07T00:00:00Z,Tax,,Synthetic tax 10% on usage record 6: BigQuery,One-Time,5.81574375,5.81574375,6.4619375,5.81574375,,,,,,USD,,5.81574375,,USD,,,BigQuery,Databases,Data Warehouses,,,,,,,,,,,,,,,,,,,,,,,,,,"{""environment"":""prod"",""cost-center"":""cc-1042"",""owner"":""team-payments""}"
Google Cloud,Google,Google Cloud,Google Cloud,Google Cloud,INV-2026-05-F70819,01A2B3-C4D5E6-F70819,ExampleCorp Billing - Primary,Billing Account,examplecorp-data-739104,data-analytics,Project,2026-05-01T00:00:00Z,2026-06-01T00:00:00Z,2026-05-01T08:00:00Z,2026-05-01T09:00:00Z,Usage,,Cloud SQL custom 4 vCPU,Usage-Based,0.2,0.2,0.2,0.2,0.2000000000,0.2000000000,Standard,1.0000,Hours,USD,0.2000000000,0.2,0.2000000000,USD,1.0000,Hours,Cloud SQL,Databases,Relational Databases,SKU-0878e8a79fb464dcb2955125,Database,SPRICE-252613603489dea350c5ac8d,"{""InstanceType"":""db-custom-4-16384"",""CoreCount"":4,""MemorySize"":16,""x_Engine"":""PostgreSQL""}",//sqladmin.googleapis.com/projects/examplecorp-data-739104/instances/sql-85f70fe1,sql-85f70fe1,Cloud SQL Instance,europe-west1,Belgium,,,,,,,,,,,,,,,,,"{""environment"":""prod"",""cost-center"":""cc-1042"",""owner"":""team-platform""}"
Google Cloud,Google,Google Cloud,Google Cloud,Google Cloud,INV-2026-05-F70819,01A2B3-C4D5E6-F70819,ExampleCorp Billing - Primary,Billing Account,examplecorp-data-739104,data-analytics,Project,2026-05-01T00:00:00Z,2026-06-01T00:00:00Z,2026-05-01T09:00:00Z,2026-05-01T10:00:00Z,Usage,,Shared Compute Engine host cost allocated to workload,Usage-Based,0.0180364,0.0180364,0.0180364,0.0180364,0.1340000000,0.1340000000,Standard,0.1346,Hours,USD,0.1340000000,0.0180364,0.1340000000,USD,0.1346,Hours,Compute Engine,Compute,Virtual Machines,SKU-1f3d031b6a456d700dc64bbb,Compute,SPRICE-d8c574633874898080639a0f,"{""InstanceType"":""e2-standard-4"",""InstanceSeries"":""E2"",""CoreCount"":4,""MemorySize"":16,""OperatingSystem"":""Linux"",""x_Preemptible"":""false""}",//compute.googleapis.com/projects/examplecorp-data-739104/instances/shared-host-3bc69e2f,shared-host-3bc69e2f,Compute Instance,asia-southeast1,Singapore,asia-southeast1-a,,,,,,,,,,,split-even,"{""Elements"":[{""AllocatedRatio"":1,""UsageUnit"":""Hours"",""UsageQuantity"":0.1346,""x_Strategy"":""Even"",""x_Basis"":""Workloads""}]}",//container.googleapis.com/projects/examplecorp-data-739104/clusters/gke-fd3140/workloads/checkout,workload-checkout,"{""workload"":""checkout"",""cost-center"":""cc-1042""}","{""environment"":""prod"",""cost-center"":""cc-1042"",""owner"":""team-payments""}"
